match_id,season,matchday,match_datetime,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,venue,attendance,home_elo,home_pi,home_points_l5,home_points_l10,home_goals_scored_l5,home_goals_conceded_l5,away_elo,away_pi,away_points_l5,away_points_l10,away_goals_scored_l5,away_goals_conceded_l5,odds_home,odds_draw,odds_away,implied_prob_home,implied_prob_draw,implied_prob_away,post_home_possession,post_home_shots,post_home_shots_on_target,post_home_big_chances,post_home_passes,post_home_pass_accuracy,post_home_tackles,post_home_interceptions,post_home_fouls,post_home_corners,post_home_yellow_cards,post_home_red_cards,post_away_possession,post_away_shots,post_away_shots_on_target,post_away_big_chances,post_away_passes,post_away_pass_accuracy,post_away_tackles,post_away_interceptions,post_away_fouls,post_away_corners,post_away_yellow_cards,post_away_red_cards,temperature_celsius,humidity_percent,wind_speed_kmh,precipitation_mm,rest_days_home,rest_days_away,travel_distance_km,home_prev_season_position,home_prev_season_points,home_prev_season_wins,home_prev_season_goal_diff,away_prev_season_position,away_prev_season_points,away_prev_season_wins,away_prev_season_goal_diff,h2h_total_matches,h2h_home_wins,h2h_draws,h2h_away_wins,elo_diff,pi_diff,form_diff_l5,goal_diff_l5,prev_season_position_diff,prev_season_points_diff,home_was_top_tier,home_was_bottom_tier,away_was_top_tier,away_was_bottom_tier,home_is_new_team,away_is_new_team,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_match_count,rest_days_diff,home_rest_advantage,away_rest_advantage,home_rest_category,away_rest_category,day_of_week,month,year,is_midweek,is_hot,is_cold,is_rainy,is_heavy_rain,is_windy,is_extreme_weather,is_home,target_home_win,target_draw,target_away_win,target_multiclass,target_home_goals,target_away_goals,target_total_goals,has_detailed_stats,has_odds,has_ratings,has_weather
3801,2019-2020,7,1970-01-01 00:00:00,Hansa Rostock,Preußen Münster,24,27,1,0,H,Ostseestadion,,1504.4871361121163,0.32907605773432724,4.0,11.0,0.8,1.2,1497.5797683531212,0.3919563312207331,7.0,12.0,1.6,1.6,1.71,3.8,4.45,0.5847953216374269,0.2631578947368421,0.2247191011235955,,,,,,,,,,,,,,,,,,,,,,,,,19.2,77.0,6.6,0.0,,,384.36592580063984,6.0,55.0,14.0,1.0,8.0,52.0,15.0,-2.0,0,0,0,0,6.9073677589951785,-0.06288027348640585,-3.0,-0.3999999999999999,-2.0,3.0,0,0,0,0,0,0,,,,0,,0,0,,,3,1,1970,1,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,1,1
1,2009-2010,1,2009-07-25 14:00:00,Jahn Regensburg,Holstein Kiel,1,2,2,0,H,Jahnstadion,4500.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.67,3.21,2.57,0.37453183520599254,0.3115264797507788,0.38910505836575876,,,,,,,,,,,,,,,,,,,,,,,,,18.9,57.0,18.0,0.0,,,611.6188516517927,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,1,0,0,2,2,0,2,0,1,1,1
2,2009-2010,1,2009-07-25 14:00:00,Dynamo Dresden,VfB Stuttgart II,3,4,0,1,A,Rudolf-Harbig-Stadion,12279.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,1.64,3.7,5.15,0.6097560975609756,0.27027027027027023,0.1941747572815534,,,,,,,,,,,,,,,,,,,,,,,,,19.0,56.0,22.8,0.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
3,2009-2010,1,2009-07-25 14:00:00,FC Carl Zeiss Jena,SV Wehen Wiesbaden,5,6,2,1,H,Ernst Abbe Sportfeld,7713.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.44,3.26,2.83,0.4098360655737705,0.3067484662576687,0.35335689045936397,,,,,,,,,,,,,,,,,,,,,,,,,18.9,65.0,24.9,0.0,,,253.56914931563958,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,1,0,0,2,2,1,3,0,1,1,1
4,2009-2010,1,2009-07-25 14:00:00,SpVgg Unterhaching,SV Sandhausen,7,8,3,3,D,Stadion am Sportpark,2400.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.05,3.3,3.51,0.48780487804878053,0.30303030303030304,0.2849002849002849,,,,,,,,,,,,,,,,,,,,,,,,,18.3,63.0,20.4,0.1,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,0,1,0,1,3,3,6,0,1,1,1
5,2009-2010,1,2009-07-25 14:00:00,Kickers Offenbach,Erzgebirge Aue,9,10,0,0,D,Bieberer Berg ,7786.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.01,3.25,3.74,0.49751243781094534,0.3076923076923077,0.267379679144385,,,,,,,,,,,,,,,,,,,,,,,,,20.0,51.0,19.4,0.0,,,285.1183662874029,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
6,2009-2010,1,2009-07-25 14:00:00,Werder Bremen II,FC Rot-Weiß Erfurt,11,12,0,0,D,Weserstadion - Platz 11,1100.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.29,3.33,2.92,0.4366812227074236,0.3003003003003003,0.3424657534246575,,,,,,,,,,,,,,,,,,,,,,,,,17.8,79.0,27.5,0.5,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
7,2009-2010,1,2009-07-25 14:00:00,Eintracht Braunschweig,VfL Osnabrück,13,14,1,0,H,,,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.32,3.3,2.93,0.4310344827586207,0.30303030303030304,0.341296928327645,,,,,,,,,,,,,,,,,,,,,,,,,16.3,77.0,22.7,1.6,,,166.70737161516564,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,0,1,1,1
8,2009-2010,1,2009-07-25 14:00:00,Wacker Burghausen,Borussia Dortmund II,15,16,4,3,H,Wacker-Arena ,3300.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.24,3.3,3.08,0.4464285714285714,0.30303030303030304,0.3246753246753247,,,,,,,,,,,,,,,,,,,,,,,,,19.3,58.0,20.7,0.0,,,537.1028192160928,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,1,0,0,2,4,3,7,0,1,1,1
9,2009-2010,1,2009-07-25 14:00:00,1. FC Heidenheim 1846,Wuppertaler SV,17,18,2,2,D,Albstadion ,4780.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,2.34,3.27,2.92,0.4273504273504274,0.3058103975535168,0.3424657534246575,,,,,,,,,,,,,,,,,,,,,,,,,18.3,63.0,18.9,0.2,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,0,1,0,1,2,2,4,0,1,1,1
