fotmob_match_id,season,round,round_name,home_team,home_team_id,away_team,away_team_id,finished,match_date,home_score,away_score,home_possession,away_possession,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_pass_accuracy_pct,away_pass_accuracy_pct,home_touches_opp_box,away_touches_opp_box,home_corners,away_corners,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_aerials_won,away_aerials_won,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,has_stats
2813160,2018-2019,1,1,Eintracht Braunschweig,9776,Karlsruher SC,8295,True,2018-07-27T17:00:00Z,1,1,42.0,58.0,10.0,9.0,6.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,339.0,485.0,257.0,405.0,76.0,84.0,22.0,16.0,5.0,2.0,21.0,5.0,6.0,9.0,37.0,26.0,2.0,4.0,68.0,45.0,28.0,14.0,23.0,14.0,3.0,4.0,0.0,1.0,True
2813161,2018-2019,1,1,Aalen,8233,Wehen Wiesbaden,8196,True,2018-07-28T12:00:00Z,1,2,50.0,50.0,16.0,9.0,1.0,6.0,8.0,3.0,0.0,3.0,0.0,1.0,368.0,373.0,252.0,257.0,68.0,69.0,20.0,10.0,8.0,2.0,10.0,22.0,7.0,9.0,25.0,29.0,4.0,1.0,47.0,62.0,19.0,18.0,21.0,12.0,1.0,2.0,0.0,0.0,True
2813165,2018-2019,1,1,Carl Zeiss Jena,8320,Sonnenhof Großaspach,94941,True,2018-07-28T12:00:00Z,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2813166,2018-2019,1,1,Fortuna Köln,7786,Preussen Münster,8171,True,2018-07-28T12:00:00Z,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2813167,2018-2019,1,1,FSV Zwickau,95202,Hallescher FC,7761,True,2018-07-28T12:00:00Z,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2813169,2018-2019,1,1,Kaiserslautern,8350,1860 München,9753,True,2018-07-28T12:00:00Z,1,0,57.0,43.0,17.0,7.0,4.0,3.0,7.0,2.0,0.0,1.0,0.0,0.0,461.0,358.0,390.0,259.0,85.0,72.0,21.0,13.0,4.0,3.0,11.0,15.0,17.0,8.0,17.0,26.0,2.0,2.0,43.0,37.0,12.0,9.0,9.0,18.0,1.0,3.0,0.0,0.0,True
2813163,2018-2019,1,1,VfL Osnabrück,9775,Würzburger Kickers,145486,True,2018-07-28T12:00:00Z,2,1,52.0,48.0,14.0,8.0,7.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,458.0,430.0,356.0,321.0,78.0,75.0,20.0,22.0,7.0,2.0,30.0,17.0,7.0,9.0,17.0,20.0,3.0,5.0,73.0,60.0,16.0,23.0,11.0,13.0,1.0,3.0,0.0,0.0,True
2813168,2018-2019,1,1,Energie Cottbus,8398,Hansa Rostock,8294,True,2018-07-29T11:05:00Z,3,0,56.0,44.0,18.0,10.0,8.0,6.0,2.0,1.0,3.0,2.0,3.0,0.0,494.0,389.0,395.0,286.0,80.0,74.0,44.0,15.0,7.0,4.0,25.0,18.0,12.0,4.0,18.0,41.0,3.0,7.0,54.0,60.0,17.0,21.0,10.0,9.0,1.0,3.0,0.0,0.0,True
2813162,2018-2019,1,1,KFC Uerdingen,8199,Unterhaching,8486,True,2018-07-29T12:00:00Z,1,3,65.0,35.0,9.0,9.0,3.0,4.0,3.0,5.0,0.0,2.0,0.0,2.0,564.0,303.0,459.0,202.0,81.0,67.0,13.0,12.0,4.0,2.0,12.0,8.0,7.0,11.0,6.0,17.0,1.0,1.0,44.0,43.0,20.0,14.0,18.0,12.0,3.0,2.0,0.0,0.0,True
2813164,2018-2019,1,1,Sportfreunde Lotte,95103,Meppen,79904,True,2018-07-30T17:00:00Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2813178,2018-2019,2,2,Hansa Rostock,8294,Eintracht Braunschweig,9776,True,2018-08-03T17:00:00Z,2,0,47.0,53.0,12.0,16.0,3.0,2.0,4.0,7.0,2.0,0.0,2.0,0.0,334.0,383.0,222.0,294.0,66.0,77.0,16.0,22.0,4.0,4.0,8.0,18.0,9.0,6.0,20.0,36.0,1.0,3.0,46.0,58.0,20.0,24.0,15.0,15.0,4.0,3.0,0.0,0.0,True
2813171,2018-2019,2,2,Preussen Münster,8171,Carl Zeiss Jena,8320,True,2018-08-04T12:00:00Z,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
