matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
30 May 2021 13:30,VfL Osnabruck,Ingolstadt,2.85,3.65,2.32,3-1,2020-2021
27 May 2021 18:15,Ingolstadt,VfL Osnabruck,1.79,3.55,4.77,3-0,2020-2021
22 May 2021 13:30,Bayern II,Hallescher,1.68,4.5,4.23,0-1,2020-2021
Unknown 13:30,Hansa Rostock,Lubeck,1.29,5.64,9.98,1-1,2020-2021
Unknown 13:30,Ingolstadt,Munich 1860,2.41,3.44,2.86,3-1,2020-2021
Unknown 13:30,Kaiserslautern,Verl,2.18,3.88,2.95,1-1,2020-2021
Unknown 13:30,Magdeburg,Unterhaching,1.58,4.31,5.36,1-1,2020-2021
Unknown 13:30,Mannheim,Uerdingen,2.75,3.06,2.74,1-1,2020-2021
Unknown 13:30,Meppen,Duisburg,1.66,4.52,4.28,2-1,2020-2021
Unknown 13:30,Turkgucu Munchen,Viktoria Koln,2.74,3.76,2.36,1-1,2020-2021
Unknown 13:30,Wehen,SG Dynamo Dresden,3.32,3.77,2.05,0-1,2020-2021
Unknown 13:30,Zwickau,Saarbrucken,2.11,3.69,3.19,2-0,2020-2021
17 May 2021 19:00,Lubeck,Zwickau,2.43,3.53,2.67,1-2,2020-2021
16 May 2021 14:00,SG Dynamo Dresden,Turkgucu Munchen,1.35,4.89,8.59,4-0,2020-2021
Unknown 14:00,Munich 1860,Bayern II,1.67,4.04,4.48,2-2,2020-2021
Unknown 13:00,Hallescher,Wehen,2.58,3.68,2.46,4-0,2020-2021
15 May 2021 14:00,Duisburg,Ingolstadt,4.52,3.79,1.72,1-5,2020-2021
Unknown 14:00,Viktoria Koln,Kaiserslautern,3.17,3.55,2.15,3-3,2020-2021
Unknown 14:00,Uerdingen,Magdeburg,2.61,3.47,2.53,1-0,2020-2021
Unknown 14:00,Unterhaching,Hansa Rostock,5.75,4.27,1.52,0-1,2020-2021
Unknown 14:00,Verl,Mannheim,1.97,3.84,3.32,0-1,2020-2021
14 May 2021 19:00,Saarbrucken,Meppen,2.05,3.79,3.21,2-0,2020-2021
