season,league,position,teamId,teamName,matches,won,draw,lost,goals,opponentGoals,goalDiff,points
2009,2. Bundesliga,1,76,1. FC Kaiserslautern,0,0,0,0,0,0,0,0
2009,2. Bundesliga,2,80,1. FC Union Berlin,0,0,0,0,0,0,0,0
2009,2. Bundesliga,3,23,Alemannia Aachen,0,0,0,0,0,0,0,0
2009,2. Bundesliga,4,83,Arminia Bielefeld,0,0,0,0,0,0,0,0
2009,2. Bundesliga,5,93,Energie Cottbus,0,0,0,0,0,0,0,0
2009,2. Bundesliga,6,95,FC Augsburg,0,0,0,0,0,0,0,0
2009,2. Bundesliga,7,98,FC St. Pauli,0,0,0,0,0,0,0,0
2009,2. Bundesliga,8,185,Fortuna Düsseldorf,0,0,0,0,0,0,0,0
2009,2. Bundesliga,9,172,FSV Frankfurt,0,0,0,0,0,0,0,0
2009,2. Bundesliga,10,102,Hansa Rostock,0,0,0,0,0,0,0,0
2009,2. Bundesliga,11,105,Karlsruher SC,0,0,0,0,0,0,0,0
2009,2. Bundesliga,12,107,MSV Duisburg,0,0,0,0,0,0,0,0
2009,2. Bundesliga,13,110,Rot-Weiss Ahlen,0,0,0,0,0,0,0,0
2009,2. Bundesliga,14,173,Rot-Weiss Oberhausen,0,0,0,0,0,0,0,0
2009,2. Bundesliga,15,31,SC Paderborn 07,0,0,0,0,0,0,0,0
2009,2. Bundesliga,16,115,SpVgg Greuther Fürth,0,0,0,0,0,0,0,0
2009,2. Bundesliga,17,125,TSV 1860 München,0,0,0,0,0,0,0,0
2009,2. Bundesliga,18,127,TuS Koblenz,0,0,0,0,0,0,0,0
2010,2. Bundesliga,1,80,1. FC Union Berlin,0,0,0,0,0,0,0,0
2010,2. Bundesliga,2,23,Alemannia Aachen,0,0,0,0,0,0,0,0
2010,2. Bundesliga,3,83,Arminia Bielefeld,0,0,0,0,0,0,0,0
2010,2. Bundesliga,4,93,Energie Cottbus,0,0,0,0,0,0,0,0
2010,2. Bundesliga,5,66,Erzgebirge Aue,0,0,0,0,0,0,0,0
2010,2. Bundesliga,6,95,FC Augsburg,0,0,0,0,0,0,0,0
2010,2. Bundesliga,7,171,FC Ingolstadt 04,0,0,0,0,0,0,0,0
2010,2. Bundesliga,8,185,Fortuna Düsseldorf,0,0,0,0,0,0,0,0
2010,2. Bundesliga,9,172,FSV Frankfurt,0,0,0,0,0,0,0,0
2010,2. Bundesliga,10,54,Hertha BSC,0,0,0,0,0,0,0,0
2010,2. Bundesliga,11,105,Karlsruher SC,0,0,0,0,0,0,0,0
2010,2. Bundesliga,12,107,MSV Duisburg,0,0,0,0,0,0,0,0
2010,2. Bundesliga,13,173,Rot-Weiss Oberhausen,0,0,0,0,0,0,0,0
2010,2. Bundesliga,14,31,SC Paderborn 07,0,0,0,0,0,0,0,0
2010,2. Bundesliga,15,115,SpVgg Greuther Fürth,0,0,0,0,0,0,0,0
2010,2. Bundesliga,16,125,TSV 1860 München,0,0,0,0,0,0,0,0
2010,2. Bundesliga,17,129,VfL Bochum,0,0,0,0,0,0,0,0
2010,2. Bundesliga,18,36,VfL Osnabrück,0,0,0,0,0,0,0,0
2011,2. Bundesliga,1,115,SpVgg Greuther Fürth,34,20,10,4,73,27,46,70
2011,2. Bundesliga,2,91,Eintracht Frankfurt,34,20,8,6,76,33,43,68
2011,2. Bundesliga,3,185,Fortuna Düsseldorf,34,16,14,4,64,35,29,62
2011,2. Bundesliga,4,98,FC St. Pauli,34,18,8,8,59,34,25,62
2011,2. Bundesliga,5,31,SC Paderborn 07,34,17,10,7,51,42,9,61
2011,2. Bundesliga,6,125,TSV 1860 München,34,17,6,11,62,46,16,57
2011,2. Bundesliga,7,80,1. FC Union Berlin,34,14,6,14,55,58,-3,48
2011,2. Bundesliga,8,74,Eintracht Braunschweig,34,10,15,9,37,35,2,45
2011,2. Bundesliga,9,177,Dynamo Dresden,34,12,9,13,50,52,-2,45
2011,2. Bundesliga,10,107,MSV Duisburg,34,10,9,15,42,47,-5,39
2011,2. Bundesliga,11,129,VfL Bochum,34,10,7,17,41,55,-14,37
2011,2. Bundesliga,12,171,FC Ingolstadt 04,34,8,13,13,43,58,-15,37
2011,2. Bundesliga,13,172,FSV Frankfurt,34,7,14,13,43,59,-16,35
2011,2. Bundesliga,14,93,Energie Cottbus,34,8,11,15,30,49,-19,35
2011,2. Bundesliga,15,66,Erzgebirge Aue,34,8,11,15,31,55,-24,35
2011,2. Bundesliga,16,105,Karlsruher SC,34,9,6,19,34,60,-26,33
2011,2. Bundesliga,17,23,Alemannia Aachen,34,6,13,15,30,47,-17,31
2011,2. Bundesliga,18,102,Hansa Rostock,34,5,12,17,34,63,-29,27
2012,2. Bundesliga,1,54,Hertha BSC,34,22,10,2,65,28,37,76
2012,2. Bundesliga,2,74,Eintracht Braunschweig,34,19,10,5,52,34,18,67
2012,2. Bundesliga,3,76,1. FC Kaiserslautern,34,15,13,6,55,33,22,58
2012,2. Bundesliga,4,172,FSV Frankfurt,34,16,6,12,55,45,10,54
2012,2. Bundesliga,5,65,1. FC Köln,34,14,12,8,43,33,10,54
2012,2. Bundesliga,6,125,TSV 1860 München,34,12,13,9,39,31,8,49
2012,2. Bundesliga,7,80,1. FC Union Berlin,34,13,10,11,50,49,1,49
2012,2. Bundesliga,8,93,Energie Cottbus,34,12,12,10,41,36,5,48
2012,2. Bundesliga,9,183,VfR Aalen,34,12,10,12,40,39,1,46
2012,2. Bundesliga,10,98,FC St. Pauli,34,11,10,13,44,47,-3,43
2012,2. Bundesliga,11,107,MSV Duisburg,34,11,10,13,37,49,-12,43
2012,2. Bundesliga,12,31,SC Paderborn 07,34,11,9,14,45,45,0,42
2012,2. Bundesliga,13,171,FC Ingolstadt 04,34,10,12,12,36,43,-7,42
2012,2. Bundesliga,14,129,VfL Bochum,34,10,8,16,40,52,-12,38
2012,2. Bundesliga,15,1067,FC Erzgebirge Aue,34,9,10,15,39,46,-7,37
2012,2. Bundesliga,16,177,Dynamo Dresden,34,9,10,15,35,49,-14,37
2012,2. Bundesliga,17,119,SV Sandhausen,34,6,8,20,38,66,-28,26
2012,2. Bundesliga,18,181,Jahn Regensburg,34,4,7,23,36,65,-29,19
2013,2. Bundesliga,1,65,1. FC Köln,34,19,11,4,53,20,33,68
2013,2. Bundesliga,2,31,SC Paderborn 07,34,18,8,8,63,48,15,62
2013,2. Bundesliga,3,115,SpVgg Greuther Fürth,34,17,9,8,64,38,26,60
2013,2. Bundesliga,4,76,1. FC Kaiserslautern,34,15,9,10,55,39,16,54
2013,2. Bundesliga,5,105,Karlsruher SC,34,12,14,8,47,34,13,50
2013,2. Bundesliga,6,185,Fortuna Düsseldorf,34,13,11,10,45,44,1,50
2013,2. Bundesliga,7,125,TSV 1860 München,34,13,9,12,38,41,-3,48
2013,2. Bundesliga,8,98,FC St. Pauli,34,13,9,12,44,49,-5,48
2013,2. Bundesliga,9,80,1. FC Union Berlin,34,11,11,12,48,47,1,44
2013,2. Bundesliga,10,171,FC Ingolstadt 04,34,11,11,12,34,33,1,44
2013,2. Bundesliga,11,183,VfR Aalen,34,11,11,12,36,39,-3,44
2013,2. Bundesliga,12,119,SV Sandhausen,34,12,8,14,29,35,-6,44
2013,2. Bundesliga,13,172,FSV Frankfurt,34,11,8,15,46,51,-5,41
2013,2. Bundesliga,14,1067,FC Erzgebirge Aue,34,11,8,15,42,54,-12,41
2013,2. Bundesliga,15,129,VfL Bochum,34,11,7,16,30,43,-13,40
2013,2. Bundesliga,16,83,Arminia Bielefeld,34,9,8,17,40,58,-18,35
