season,league,position,teamId,teamName,matches,won,draw,lost,goals,opponentGoals,goalDiff,points
2009,3. Liga,1,199,1. FC Heidenheim 1846,0,0,0,0,0,0,0,0
2009,3. Liga,2,187,Borussia Dortmund II,0,0,0,0,0,0,0,0
2009,3. Liga,3,177,Dynamo Dresden,0,0,0,0,0,0,0,0
2009,3. Liga,4,74,Eintracht Braunschweig,0,0,0,0,0,0,0,0
2009,3. Liga,5,66,Erzgebirge Aue,0,0,0,0,0,0,0,0
2009,3. Liga,6,179,FC Bayern München II,0,0,0,0,0,0,0,0
2009,3. Liga,7,69,FC Carl Zeiss Jena,0,0,0,0,0,0,0,0
2009,3. Liga,8,171,FC Ingolstadt 04,0,0,0,0,0,0,0,0
2009,3. Liga,9,176,FC Rot-Weiß Erfurt,0,0,0,0,0,0,0,0
2009,3. Liga,10,104,Holstein Kiel,0,0,0,0,0,0,0,0
2009,3. Liga,11,181,Jahn Regensburg,0,0,0,0,0,0,0,0
2009,3. Liga,12,29,Kickers Offenbach,0,0,0,0,0,0,0,0
2009,3. Liga,13,116,SpVgg Unterhaching,0,0,0,0,0,0,0,0
2009,3. Liga,14,119,SV Sandhausen,0,0,0,0,0,0,0,0
2009,3. Liga,15,174,SV Wehen Wiesbaden,0,0,0,0,0,0,0,0
2009,3. Liga,16,184,VfB Stuttgart II,0,0,0,0,0,0,0,0
2009,3. Liga,17,36,VfL Osnabrück,0,0,0,0,0,0,0,0
2009,3. Liga,18,73,Wacker Burghausen,0,0,0,0,0,0,0,0
2009,3. Liga,19,135,Werder Bremen II,0,0,0,0,0,0,0,0
2009,3. Liga,20,137,Wuppertaler SV,0,0,0,0,0,0,0,0
2010,3. Liga,1,199,1. FC Heidenheim 1846,0,0,0,0,0,0,0,0
2010,3. Liga,2,417,1. FC Saarbrücken,0,0,0,0,0,0,0,0
2010,3. Liga,3,177,Dynamo Dresden,0,0,0,0,0,0,0,0
2010,3. Liga,4,74,Eintracht Braunschweig,0,0,0,0,0,0,0,0
2010,3. Liga,5,179,FC Bayern München II,0,0,0,0,0,0,0,0
2010,3. Liga,6,69,FC Carl Zeiss Jena,0,0,0,0,0,0,0,0
2010,3. Liga,7,176,FC Rot-Weiß Erfurt,0,0,0,0,0,0,0,0
2010,3. Liga,8,102,Hansa Rostock,0,0,0,0,0,0,0,0
2010,3. Liga,9,181,Jahn Regensburg,0,0,0,0,0,0,0,0
2010,3. Liga,10,29,Kickers Offenbach,0,0,0,0,0,0,0,0
2010,3. Liga,11,110,Rot-Weiss Ahlen,0,0,0,0,0,0,0,0
2010,3. Liga,12,116,SpVgg Unterhaching,0,0,0,0,0,0,0,0
2010,3. Liga,13,117,SV Babelsberg 03,0,0,0,0,0,0,0,0
2010,3. Liga,14,119,SV Sandhausen,0,0,0,0,0,0,0,0
